Address,Price,Land,Road,Face,Bedroom,Bathroom,Floors,City
Bansbari,13500000,1197.87,,west,3,2,2,Kathmandu
Gurjudhara,18500000,1540.12,10,East,4,3,3,Kathmandu
suryadarshan Height,20500000,1026.75,,east,4,3,2.5,Kathmandu
Dhapakhel-24,25000000,1711.25,18,East-South,7,2,2.5,Kathmandu
Basundhara,25500000,1155.09,13,North/West,3,2.5,5,Kathmandu
Kageshwori Municipality-9,26000000,1369,26,West,5,2.5,6,Kathmandu
Ganesh Chowk,26000000,1369,14,East,6,4,2.5,Kathmandu
Hattiban - 28,27000000,,,,,,,Lalitpur
Sunar gaun,27000000,1711.25,2,North,13,3.5,5,Kathmandu
Satdobato,27500000,,,,,,,Kathmandu
Sanepa,28000000,1711.25,20,East,4,2.5,1,Lalitpur
Hattiban - 28,29000000,2224.62,22,North,5,2.5,3,Lalitpur
Surya Darshan Height,29500000,,,,,,,Kathmandu
Banasthali,29500000,1026.75,10,East,4,3,2.5,Kathmandu
Surya Darshan height,30000000,1625.68,13,west,7,4,3.5,Kathmandu
Saibu,30000000,1369,15,North,4,2.5,3,Lalitpur
Ichangu Narayan,31000000,1304.82,10,north,5,4,2.5,Kathmandu
pasikot,31000000,1369,13,east/west,5,3,3.5,Kathmandu
Villa sunakothi,32500000,1454.56,,North,5,3,2,Lalitpur
Kalanki,33000000,1925.15,13,North,5,3,2.5,Kathmandu
Bhaisipati,33500000,1796.81,14,North/East,5,4,2.5,Lalitpur
Banasthali,34000000,1369,13,East,6,5,3.5,Kathmandu
Kageshwori Manohara Municipality-08,35000000,1369,32,East,10,3.5,5,Kathmandu
Sadikshya Marga- 4,35000000,2738,16,East,5,3.5,5,Kathmandu
Gongabu Chowk,37000000,1711.25,10,west,4,2,2,Kathmandu
Lamathumki,38000000,2310.18,13,East,9,7,3.5,Kathmandu
Lamathumki,38000000,2310.18,13,East,9,7,3.5,Kathmandu
Mandikatar,40000000,1668.46,13,West,5,3,2.5,Kathmandu
Nainatole,42000000,2566.87,13,North/East,6,2.5,3,Kathmandu
Madikhatar Tennis Court,43500000,2224.62,13,North/West,4,5,3.5,Kathmandu
umang chowk,44000000,1967.93,27,north/east,8,7,3.5,Kathmandu
Putalisadak,50000000,1369,20,west,15,6,3.5,Kathmandu
Putalisadak,50000000,1369,20,west,3.5,,,Kathmandu
Upper Pasikot,51000000,2481.31,22,south,5,6,3.5,Kathmandu
Dhapashi Height,55000000,4449.25,14,North/East,5,4,2.5,Kathmandu
Milap marga,55000000,2139.06,14,East,5,2.5,4,Kathmandu
Kritipur,57000000,2566.87,20,east,5,4,2,Kathmandu
Dhumbarahi,57000000,,,,8,7,3.5,Kathmandu
Balaju,59000000,2139.06,20,South to East,16,18,6.5,Kathmandu
Balkumari,60000000,3080.25,13,East,6,6,3.5,Lalitpur
Kalanki,60000000,,,,,,,Kathmandu
Nainatole,60000000,3593.62,22,North East,5,2.5,4,Kathmandu
Sainbu-18,60000000,2738,12,North,2.5,,,Lalitpur
Hepali height,60000000,5497.39,20,East,5,2.5,1,Kathmandu
Chapali Bhadrakali.,61500000,2053.5,13,South,5,5,2.5,Kathmandu
Basundhara,67000000,2481.31,13,west,5,5,2.5,Kathmandu
Shankhamul,68000000,2566.87,20,east and north,7,3,3.5,Kathmandu
Tangal,70000000,278.07,22,East,5,,,Lalitpur
Maharajgunj,72500000,3422.5,13,North/East,6,4,2.5,Kathmandu
Sundar Basti Katunje-8,82000000,2074.89,12,South/East,13,4,3,Bhaktapur
Talim Kendra Road,85000000,2695.21,33,South/East,6,5,2.5,Kathmandu
Thecho,85000000,3336.93,16,East,6,7,2.5,Lalitpur
Bhaktapur,85000000,,,,,,,Kathmandu
Haadigaun Marg,130000000,3422.5,14,South-West,4,2.5,10,Kathmandu
Thulo-Bharyang,140000000,3935.87,22,East/North,10,5,3.5,Kathmandu
