Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors,url
"KOTESWOR, KATHMANDU, NEPAL",1240.65,5,29400000,11,4,NORTH EAST,4,https://www.gharbazar.com/property/details/house-at-koteswor-kathmandu-9619
"KHARIBOT, GAURIGHAT, KATHMANDU, NEPAL",1369,9,31000000,4,4,WEST,3,https://www.gharbazar.com/property/details/house-at-kharibot-gaurighat-9249
"NAYABASTI, PATITAR, GOKARNESHWOR -06, KATHMANDU, NEPAL",1026.75,10,16000000,4,2,EAST,2,https://www.gharbazar.com/property/details/house-at-nayabasti-patitar-gokarneshwor-06-10090
"BALKOT, BHAKTAPUR, BHAKTAPUR, NEPAL",1369,10,17000000,4,2,EAST,2,https://www.gharbazar.com/property/details/house-at-balkot-7789
"BHAISIPATI, LALITPUR, NEPAL",1369,12,38000000,6,3,NORTH,2.5,https://www.gharbazar.com/property/details/fully-furnished-house-in-prime-location-phulbari-marga-bhaisepati-10758
"MAHARAJGUNG, KATHMANDU, NEPAL",1369,13,24000000,4,2,EAST,2,https://www.gharbazar.com/property/details/house-at-maharajgung-9991
"MILANCHOWK, DAHACHOWK, KATHMANDU, NEPAL",3593.62,13,28000000,5,3,EAST,2.5,https://www.gharbazar.com/property/details/house-at-dahachowk-7409
"BOUDHA, KATHMANDU, NEPAL",727.28,13,17000000,7,4,SOUTH EAST,3.5,https://www.gharbazar.com/property/details/house-at-mahankal-3966
"IMADOL, MAHALAXMI NAGARPALIKA, KATHMANDU, NEPAL",898.4,13,22500000,6,3,NORTH,4.5,https://www.gharbazar.com/property/details/house-at-imadol-mahalaxmi-nagarpalika-10215
"IMADOL, LALITPUR, NEPAL",1026.75,13,19900000,4,2,SOUTH,2,https://www.gharbazar.com/property/details/spacious-and-stylish-house-in-peaceful-imadol-convenient-location-with-modern-amenities-10824
"IMADOL, LALITPUR, NEPAL",1026.75,13,26000000,6,3,EAST,3,https://www.gharbazar.com/property/details/house-at-imadol-mahalaxmisthan-10458
"SYUCHATAR, KALANKI, KATHMANDU, NEPAL",1112.31,13,25500000,7,3,SOUTH,2.5,https://www.gharbazar.com/property/details/house-at-syuchatar-kalanki-9219
"SITAPAILA, KATHMANDU, NEPAL",1283.43,13,33000000,5,3,SOUTH,2.5,https://www.gharbazar.com/property/details/house-at-sitapaila-kathmandu-8635
"BALKOT, BHAKTAPUR, NEPAL",1369,13,14500000,5,3,WEST,2.5,https://www.gharbazar.com/property/details/house-at-balkot-height-4541
"BUDHANILKANTHA, PASIKOT, KATHMANDU, NEPAL",1369,13,29000000,6,5,SOUTH EAST,2.5,https://www.gharbazar.com/property/details/house-at-pasikot-7722
"DHUMBARAHI, KATHMANDU, NEPAL",1369,13,45000000,5,7,SOUTH,4.5,https://www.gharbazar.com/property/details/house-at-dhumbarahi-7424
"BUDHANILKANTHA 8 KARKHANA CHOK, KATHMANDU, NEPAL",1540.12,13,33000000,7,3,SOUTH EAST,3,https://www.gharbazar.com/property/details/house-at-budhanilkantha-8-karkhana-chowk-10088
"TANKISINWARI, WARD NO 2, BIRATNAGAR, KATHMANDU, NEPAL",10935,14,25000000,3,3,EAST,2,https://www.gharbazar.com/property/details/house-at-tankisinwari-ward-no-2-biratnagar-10123
"PROVINCE 1, BIRATNAGAR, MORANG, NEPAL",3462.75,20,24500000,6,5,NORTH,2.5,https://www.gharbazar.com/property/details/house-at-province-1-biratnagar-10097
"BALUWATAR, KATHMANDU, NEPAL",8042.86,20,230000000,7,4,SOUTH EAST,2.5,https://www.gharbazar.com/property/details/house-at-main-road-of-pandol-marga-baluwatar-9736
"KALANKI, KATHMANDU, NEPAL",1540.12,20,39000000,6,6,EAST,3.5,https://www.gharbazar.com/property/details/house-at-kalanki-kathmandu-10046
"BUDHANILKANTHA, KATHMANDU, NEPAL",1711.25,20,40500000,5,4,EAST,2.5,https://www.gharbazar.com/property/details/house-at-budhanilkantha-10018
"NAKHIPOT, LALITPUR, NEPAL",2395.75,20,55000000,9,5,SOUTH,3.5,https://www.gharbazar.com/property/details/house-at-nakhipot-lalitpur-8846
"HATTIBAN, LALITPUR, NEPAL",1155.09,22,24000000,3,4,NORTH,2.5,https://www.gharbazar.com/property/details/stunning-house-at-mountview-residency-hattiban-avail-now-10818
"BHAKTAPUR BODE PLANING, BHAKTAPUR, NEPAL",1176.48,22,24500000,8,7,NORTH,4,https://www.gharbazar.com/property/details/house-at-bhaktapur-bode-planning-10108
"GURJUDHARA, KATHMANDU, NEPAL",1582.9,22,29000000,8,6,NORTH EAST,4,https://www.gharbazar.com/property/details/house-at-high-vision-colony-gurjudhara-9490
"MULPANI, GREEN HILL CITY, KATHMANDU, NEPAL",1326.21,26,25000000,4,4,NORTH,2.5,https://www.gharbazar.com/property/details/house-at-mulpani-8575
"BIRGUNJ, PARSA, NEPAL",1549.13,30,34900000,6,3,SOUTH,2.5,https://www.gharbazar.com/property/details/house-at-reshamkothi-6-birgunj-9626
"RADHA KRISHNA TEMPLE, KATHMANDU, NEPAL",1369,10,16500000,7,4,SOUTH WEST,2.5,https://www.gharbazar.com/property/details/house-at-gurjudhara-2948
"BHAISEPATI, SAINBU, KATHMANDU, NEPAL",1967.93,16,47500000,7,8,NORTH EAST,3.5,https://www.gharbazar.com/property/details/house-at-bhaisepati-8887
"GREEN VILLAGE HOMES, RAMKOT, KATHMANDU, NEPAL",1369,16,16800000,5,2,WEST,2.5,https://www.gharbazar.com/property/details/house-at-ramkot-syuchatar-5722
"KAGESHWORI-MANOHARA NA.PA, DANCHHI, KATHMANDU, NEPAL",1026.75,10,16000000,4,3,SOUTH EAST,2.5,https://www.gharbazar.com/property/details/house-at-danchhi-7120
"DHAPASI, KATHMANDU, NEPAL",1711.25,13,21000000,9,7,NORTH,3.5,https://www.gharbazar.com/property/details/house-at-greenland-5727
