Address,Count
Thapathali,6
Sundarbasti,6
Old Baneshwor,6
Ochu Height,6
Naya Bazar,6
Naya Naikap,6
Gurjudhara,6
Dallu,6
Changunarayan,6
Lamatar,7
Khadka Tole,7
Godawari,7
Chunikhel,7
Chandol,7
Battisputali,7
Bagdol,7
Siddhipur,8
Raniban,8
Naxal,8
Koteshwor,8
Ganesh Chowk,8
Thankot,9
Sipadol,9
Naya Basti,9
Narayantar,9
Kageshwori Manohara,9
Swayambhu,10
Naikap,10
Manamaiju,10
Makalbari,10
Kadaghari,10
Goldhunga,10
Deuba Chowk,10
Chappal Karkhana,11
Boudha,11
Thulo Bharyang,12
Satungal,12
Satdobato,12
Bhaktapur,12
Balaju,12
Aakasedhara,12
Rudreshwor,13
Chabahil,13
Gongabu,13
Hepali,13
Sanobharyang,14
Ramkot,14
Maharajgunj,14
Lubhu,14
Kirtipur,14
Banasthali,14
Baluwakhani,14
Balkot,14
Gwarko,15
Chapali,15
Balkhu,15
Kalanki,16
Harisiddhi,16
Sunakothi,17
Mulpani,17
Chandragiri,17
Baniyatar,17
Nagarjun,18
Gothatar,18
Bansbari,18
Thaiba,19
Kusunti,19
Sanepa,20
Jorpati,20
Sanagau,21
Sainbu,21
Dhumbarahi,21
Khumaltar,22
Pepsicola,23
Narayanthan,23
Sitapakha,24
Syuchatar,25
Bafal,27
Nakhipot,29
Samakhusi,31
Dhapakhel,33
Mandhikatar,34
Sukedhara,35
Baluwatar,35
Nakkhu,41
Hattiban,42
Golfutar,42
Basundhara,48
Dhapasi,49
Pasikot,51
Kapan,52
Bhangal,52
Talchhikhel ,56
Tokha,57
Hattigauda,61
Tikathali,63
Sitapaila,69
Bhaisepati,120
Budhanilkantha,224
Imadol,399
